"date","close","high","low","open"
"2021-01-25T17:02:00.000Z",275.64,275.82,275.615,275.79
"2021-01-25T17:03:00.000Z",275.46,275.665,275.4,275.61
"2021-01-25T17:04:00.000Z",275.44,275.61,275.385,275.6
"2021-01-25T17:05:00.000Z",275.38,275.54,275.32,275.54
"2021-01-25T17:06:00.000Z",275.33,275.34,275.21,275.29
"2021-01-25T17:07:00.000Z",275.32,275.33,275.18,275.33
"2021-01-25T17:08:00.000Z",275.88,275.97,275.59,275.61
"2021-01-25T17:09:00.000Z",275.89,275.9,275.78,275.9
"2021-01-25T17:10:00.000Z",275.78,275.9,275.78,275.9
"2021-01-25T17:11:00.000Z",275.41,275.78,275.41,275.605
"2021-01-25T17:12:00.000Z",275.245,275.54,275.17,275.54
"2021-01-25T17:13:00.000Z",274.925,275.08,274.89,275.08
"2021-01-25T17:14:00.000Z",274.82,275.005,274.78,274.98
"2021-01-25T17:15:00.000Z",274.895,274.96,274.805,274.84
"2021-01-25T17:16:00.000Z",274.76,275.09,274.67,275.09
"2021-01-25T17:17:00.000Z",274.36,274.75,274.19,274.75
"2021-01-25T17:18:00.000Z",274.155,274.25,274.09,274.25
"2021-01-25T17:19:00.000Z",274.245,274.39,274.23,274.3
"2021-01-25T17:20:00.000Z",275.1,275.11,274.315,274.35
"2021-01-25T17:21:00.000Z",274.995,275.19,274.985,275.11
"2021-01-25T17:22:00.000Z",274.89,275.03,274.89,274.98
"2021-01-25T17:23:00.000Z",274.685,274.99,274.48,274.9
"2021-01-25T17:24:00.000Z",274.54,274.67,274.43,274.65
"2021-01-25T17:25:00.000Z",275.015,275.065,274.69,274.69
"2021-01-25T17:26:00.000Z",274.795,275.18,274.79,275.07
"2021-01-25T17:27:00.000Z",274.78,275.065,274.78,274.94
"2021-01-25T17:28:00.000Z",274.75,274.835,274.635,274.66
"2021-01-25T17:29:00.000Z",274.645,274.8,274.55,274.63
"2021-01-25T17:30:00.000Z",274.455,274.57,274.44,274.5
"2021-01-25T17:31:00.000Z",274.985,275.03,274.69,274.69
"2021-01-25T17:32:00.000Z",275.28,275.28,275.175,275.22
"2021-01-25T17:33:00.000Z",275.1,275.18,275.07,275.07
"2021-01-25T17:34:00.000Z",275.65,275.65,275.385,275.39
"2021-01-25T17:35:00.000Z",275.645,275.775,275.6,275.69
"2021-01-25T17:36:00.000Z",275.505,275.525,275.465,275.5
"2021-01-25T17:37:00.000Z",275.63,275.63,275.63,275.63
"2021-01-25T17:38:00.000Z",275.625,275.795,275.57,275.57
"2021-01-25T17:39:00.000Z",275.19,275.685,275.18,275.66
"2021-01-25T17:40:00.000Z",275.52,275.65,275.24,275.24
"2021-01-25T17:41:00.000Z",275.715,275.715,275.535,275.63
"2021-01-25T17:42:00.000Z",275.73,275.86,275.65,275.68
"2021-01-25T17:43:00.000Z",275.91,275.91,275.74,275.85
"2021-01-25T17:44:00.000Z",276,276,275.86,275.95
"2021-01-25T17:45:00.000Z",276.11,276.11,275.975,275.975
"2021-01-25T17:46:00.000Z",276.64,276.74,276.135,276.135
"2021-01-25T17:47:00.000Z",276.905,276.905,276.62,276.71
"2021-01-25T17:48:00.000Z",276.77,276.91,276.685,276.685
"2021-01-25T17:49:00.000Z",276.91,276.94,276.78,276.82
"2021-01-25T17:50:00.000Z",276.91,276.91,276.91,276.91
"2021-01-25T17:51:00.000Z",276.63,276.74,276.4,276.58
"2021-01-25T17:52:00.000Z",277.1,277.1,276.58,276.58
"2021-01-25T17:53:00.000Z",277.58,277.58,277.115,277.14
"2021-01-25T17:54:00.000Z",277.74,277.75,277.425,277.73
"2021-01-25T17:55:00.000Z",277.39,277.63,277.39,277.63
"2021-01-25T17:56:00.000Z",277.36,277.42,277.205,277.42
"2021-01-25T17:57:00.000Z",277.61,277.61,277.34,277.42
"2021-01-25T17:58:00.000Z",277.61,277.61,277.61,277.61
"2021-01-25T17:59:00.000Z",277.18,277.44,277.07,277.43
"2021-01-25T18:00:00.000Z",276.76,277.02,276.76,277.01
"2021-01-25T18:01:00.000Z",276.635,276.725,276.5,276.725
"2021-01-25T18:02:00.000Z",276.715,276.73,276.57,276.57
"2021-01-25T18:03:00.000Z",276.83,276.975,276.8,276.81
"2021-01-25T18:04:00.000Z",276.99,276.99,276.855,276.865
"2021-01-25T18:05:00.000Z",276.965,276.98,276.88,276.95
"2021-01-25T18:06:00.000Z",276.83,276.83,276.655,276.75
"2021-01-25T18:07:00.000Z",276.825,276.875,276.74,276.87
"2021-01-25T18:08:00.000Z",276.825,276.875,276.805,276.875
"2021-01-25T18:09:00.000Z",276.84,276.95,276.74,276.895
"2021-01-25T18:10:00.000Z",277.13,277.15,276.755,276.775
"2021-01-25T18:11:00.000Z",277.13,277.27,277.125,277.27
"2021-01-25T18:12:00.000Z",277.14,277.15,276.98,277.095
"2021-01-25T18:13:00.000Z",277.09,277.09,277.01,277.09
"2021-01-25T18:14:00.000Z",277.435,277.46,277.11,277.11
